topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_534ac6ae,20.0,5.29,19.8,45.08,4.231,4.204,4.032,3.118,15.585,60.665,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5484339d,20.0,6.31,0.0,26.31,3.333,3.581,5.396,4.167,16.477,42.787,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_54b4bec1,20.0,4.66,15.36,40.02,5.0,3.247,4.591,3.4,16.238,56.258,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_54bf177c,20.0,6.87,20.78,47.66,4.917,3.606,3.541,3.174,15.238,62.898,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_554f5f89,0.0,6.27,0.0,6.27,4.286,3.238,3.74,3.278,14.542,20.812,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_56001d27,0.0,6.68,0.0,6.68,5.0,3.372,3.85,3.462,15.684,22.364,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_56c31509,20.0,5.26,9.0,34.26,5.0,5.033,5.17,5.029,20.232,54.492,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_575bf992,0.0,6.64,0.0,6.64,5.0,5.01,5.031,5.038,20.079,26.719,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_57b1aac9,20.0,7.24,0.0,27.24,3.333,3.507,3.064,3.458,13.362,40.602,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5812d119,20.0,5.83,1.5,27.33,3.333,3.352,4.462,3.526,14.673,42.003,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5994c086,20.0,6.6,0.0,26.6,3.889,3.357,5.085,3.343,15.674,42.274,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5a1ddbd6,20.0,6.32,15.06,41.38,5.0,5.014,4.998,5.017,20.029,61.409,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5a273a72,20.0,8.48,0.0,28.48,3.333,3.368,4.116,3.333,14.15,42.63,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5aa6b7e4,20.0,9.88,0.0,29.88,3.316,3.294,4.363,3.333,14.306,44.186,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5ac81b89,20.0,6.59,3.0,29.59,3.333,3.329,3.452,3.333,13.447,43.037,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5bfb2927,20.0,6.9,0.0,26.9,3.199,3.742,4.385,3.239,14.565,41.465,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5c2d112e,20.0,6.51,0.0,26.51,3.889,3.291,3.803,3.333,14.316,40.826,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5c35a8a9,20.0,5.5,0.0,25.5,5.0,5.092,5.116,4.879,20.087,45.587,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5c8dc4b6,20.0,6.48,3.0,29.48,4.833,2.365,5.101,3.138,15.437,44.917,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5cb17c7e,20.0,5.74,18.54,44.28,5.167,3.333,4.392,3.079,15.971,60.251,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5dd0e0a4,20.0,5.5,0.0,25.5,7.675,4.096,7.814,5.072,24.657,50.157,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5f3e268e,20.0,8.35,17.0,45.35,5.0,5.018,5.249,5.067,20.334,65.684,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5f43072b,20.0,5.57,15.21,40.78,3.3,2.402,3.961,3.357,13.02,53.8,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_5ff4afb1,20.0,5.56,0.0,25.56,4.322,3.343,3.976,3.349,14.99,40.55,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_60caab4d,20.0,5.61,4.5,30.11,6.55,3.446,4.638,3.305,17.939,48.049,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6129a95a,20.0,5.07,21.26,46.33,6.667,2.246,4.913,2.914,16.74,63.07,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_614542d7,0.0,5.26,0.0,5.26,6.55,3.451,5.555,4.125,19.681,24.941,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_616ffa78,20.0,4.52,0.0,24.52,4.966,4.865,5.661,5.0,20.492,45.012,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_619c8a73,20.0,6.58,17.58,44.15,4.41,3.417,4.111,3.279,15.217,59.367,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_61e30c29,0.0,6.49,0.0,6.49,6.583,4.264,5.935,3.429,20.211,26.701,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_622a8937,20.0,8.75,15.48,44.23,4.983,6.533,5.519,5.202,22.237,66.467,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_62e06c4b,0.0,5.2,0.0,5.2,4.117,2.941,4.16,3.418,14.636,19.836,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_62e43586,20.0,8.34,15.16,43.5,5.0,3.411,3.575,3.268,15.254,58.754,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6464475b,0.0,4.98,0.0,4.98,4.167,3.896,4.942,2.843,15.848,20.828,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_646adcf8,20.0,3.78,15.26,39.04,4.983,5.163,5.711,5.0,20.857,59.897,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_654b71de,20.0,8.35,0.0,28.35,3.3,3.235,4.656,3.128,14.319,42.669,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_655e597e,20.0,6.62,24.05,50.67,4.917,4.02,4.302,2.685,15.924,66.594,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6710dc08,20.0,5.52,1.5,27.02,5.0,3.404,3.696,3.553,15.653,42.673,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_698bb68d,20.0,6.48,15.02,41.51,7.05,2.693,5.465,5.04,20.248,61.758,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6993a02d,20.0,5.82,0.0,25.82,6.458,5.016,5.492,5.0,21.966,47.786,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_69b18650,20.0,6.46,0.0,26.46,8.283,5.306,5.937,4.404,23.93,50.39,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_69b4352f,0.0,4.8,0.0,4.8,3.317,3.703,5.101,4.035,16.156,20.956,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6a2a7703,20.0,6.61,0.0,26.61,1.579,3.826,3.623,3.436,12.464,39.074,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6a33fc25,20.0,6.14,3.0,29.14,3.265,3.412,4.653,3.667,14.997,44.137,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6a3ff5d4,20.0,5.89,3.0,28.89,3.137,3.343,4.134,3.333,13.947,42.837,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6a5ac0c1,20.0,5.42,9.0,34.42,1.667,2.461,2.679,2.069,8.876,43.296,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
